service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
土曜日ダイヤ,0,0,0,0,0,1,0,20240401,20260331
日祝ダイヤ,0,0,0,0,0,0,1,20240401,20260331
土曜ダイヤ（祝日、第二・第四土曜、正月三ヶ日は運休）,0,0,0,0,0,1,0,20240401,20260331
平日ダイヤ（公立高校の春・夏・冬休みは運休）,1,1,1,1,1,0,0,20240401,20260331
通年（LIM）R7.1.20～R7.3.31,1,1,1,1,1,1,1,20250120,20250331
平日ダイヤ　R4.8.22～,1,1,1,1,1,0,0,20240401,20260331
通年（LIM）R7.4.1～,1,1,1,1,1,1,1,20250401,20260331
土日祝ダイヤ,0,0,0,0,0,1,1,20240401,20260331
北谷ゲートウェイ実証,1,1,1,1,1,1,1,20241221,20250228
R7_北谷ゲートウエイ～ジャングリア(9.1-9.26、12.28-1.3),1,1,1,1,1,1,1,20250901,20260103
R7_北谷ゲートウエイ～ジャングリア(9.27-9.30),1,1,1,1,1,1,1,20250927,20250930
R7_北谷ゲートウエイ～ジャングリア(10.1-12.27、1.4-3.31),1,1,1,1,1,1,1,20251001,20260331
