fare_id,route_id,origin_id,destination_id
93987,649,S5208,S5222
93988,649,S5208,S5227
93989,649,S5208,S5228
93990,649,S5208,S5229
93991,649,S5208,S5230
93992,649,S5208,S5231
93994,649,S5210,S5222
93995,649,S5210,S5227
93996,649,S5210,S5228
93997,649,S5210,S5229
93998,649,S5210,S5230
93999,649,S5210,S5231
94000,649,S1997,S5222
94001,649,S1997,S5227
94002,649,S1997,S5228
94003,649,S1997,S5229
94004,649,S1997,S5230
94005,649,S1997,S5231
94006,649,S5222,S5227
94007,649,S5222,S5228
94008,649,S5222,S5229
94009,649,S5222,S5230
94010,649,S5222,S5231
94011,649,S5227,S5228
94012,649,S5227,S5229
94013,649,S5227,S5230
94014,649,S5227,S5231
94015,649,S5228,S5229
94016,649,S5228,S5230
94017,649,S5228,S5231
94018,649,S5229,S5230
94019,649,S5229,S5231
94020,649,S5230,S5231
94128,650,S5208,S5222
94129,650,S5208,S5227
94130,650,S5208,S5228
94131,650,S5208,S5229
94132,650,S5208,S5230
94133,650,S5208,S5231
94134,650,S5208,S5718
94135,650,S5208,S5232
94136,650,S5208,S5245
94137,650,S5208,S5233
94138,650,S5208,S5234
94139,650,S5208,S5235
94140,650,S5208,S5237
94142,650,S5210,S5222
94143,650,S5210,S5227
94144,650,S5210,S5228
94145,650,S5210,S5229
94146,650,S5210,S5230
94147,650,S5210,S5231
94148,650,S5210,S5718
94149,650,S5210,S5232
94150,650,S5210,S5245
94151,650,S5210,S5233
94152,650,S5210,S5234
94153,650,S5210,S5235
94154,650,S5210,S5237
94155,650,S1997,S5222
94156,650,S1997,S5227
94157,650,S1997,S5228
94158,650,S1997,S5229
94159,650,S1997,S5230
94160,650,S1997,S5231
94161,650,S1997,S5718
94162,650,S1997,S5232
94163,650,S1997,S5245
94164,650,S1997,S5233
94165,650,S1997,S5234
94166,650,S1997,S5235
94167,650,S1997,S5237
94168,650,S5222,S5227
94169,650,S5222,S5228
94170,650,S5222,S5229
94171,650,S5222,S5230
94172,650,S5222,S5231
94173,650,S5222,S5718
94174,650,S5222,S5232
94175,650,S5222,S5245
94176,650,S5222,S5233
94177,650,S5222,S5234
94178,650,S5222,S5235
94179,650,S5222,S5237
94180,650,S5227,S5228
94181,650,S5227,S5229
94182,650,S5227,S5230
94183,650,S5227,S5231
94184,650,S5227,S5718
94185,650,S5227,S5232
94186,650,S5227,S5245
94187,650,S5227,S5233
94188,650,S5227,S5234
94189,650,S5227,S5235
94190,650,S5227,S5237
94191,650,S5228,S5229
94192,650,S5228,S5230
94193,650,S5228,S5231
94194,650,S5228,S5718
94195,650,S5228,S5232
94196,650,S5228,S5245
94197,650,S5228,S5233
94198,650,S5228,S5234
94199,650,S5228,S5235
94200,650,S5228,S5237
94201,650,S5229,S5230
94202,650,S5229,S5231
94203,650,S5229,S5718
94204,650,S5229,S5232
94205,650,S5229,S5245
94206,650,S5229,S5233
94207,650,S5229,S5234
94208,650,S5229,S5235
94209,650,S5229,S5237
94210,650,S5230,S5231
94211,650,S5230,S5718
94212,650,S5230,S5232
94213,650,S5230,S5245
94214,650,S5230,S5233
94215,650,S5230,S5234
94216,650,S5230,S5235
94217,650,S5230,S5237
94218,650,S5231,S5718
94219,650,S5231,S5232
94220,650,S5231,S5245
94221,650,S5231,S5233
94222,650,S5231,S5234
94223,650,S5231,S5235
94224,650,S5231,S5237
94225,650,S5718,S5232
94226,650,S5718,S5245
94227,650,S5718,S5233
94228,650,S5718,S5234
94229,650,S5718,S5235
94230,650,S5718,S5237
94231,650,S5232,S5245
94232,650,S5232,S5233
94233,650,S5232,S5234
94234,650,S5232,S5235
94235,650,S5232,S5237
94236,650,S5245,S5233
94237,650,S5245,S5234
94238,650,S5245,S5235
94239,650,S5245,S5237
94240,650,S5233,S5234
94241,650,S5233,S5235
94242,650,S5233,S5237
94243,650,S5234,S5235
94244,650,S5234,S5237
94245,650,S5235,S5237
94248,723,S5208,S5223
94249,723,S5208,S5719
94250,723,S5208,S5224
94251,723,S5208,S5225
94252,723,S5208,S5308
94253,723,S5208,S1367
94255,723,S5210,S5223
94256,723,S5210,S5719
94257,723,S5210,S5224
94258,723,S5210,S5225
94259,723,S5210,S5308
94260,723,S5210,S1367
94261,723,S1997,S5223
94262,723,S1997,S5719
94263,723,S1997,S5224
94264,723,S1997,S5225
94265,723,S1997,S5308
94266,723,S1997,S1367
94267,723,S5223,S5719
94268,723,S5223,S5224
94269,723,S5223,S5225
94270,723,S5223,S5308
94271,723,S5223,S1367
94272,723,S5719,S5224
94273,723,S5719,S5225
94274,723,S5719,S5308
94275,723,S5719,S1367
94276,723,S5224,S5225
94277,723,S5224,S5308
94278,723,S5224,S1367
94279,723,S5225,S5308
94280,723,S5225,S1367
94281,723,S5308,S1367
94468,725,S1367,S5225
94469,725,S1367,S5308
94470,725,S1367,S5224
94471,725,S1367,S5438
94472,725,S1367,S5223
94473,725,S1367,S2774
94474,725,S1367,S3288
94475,725,S1367,S3281
94476,725,S5225,S5308
94477,725,S5225,S5224
94478,725,S5225,S5438
94479,725,S5225,S5223
94480,725,S5225,S2774
94481,725,S5225,S3288
94482,725,S5225,S3281
94483,725,S5308,S5224
94484,725,S5308,S5438
94485,725,S5308,S5223
94486,725,S5308,S2774
94487,725,S5308,S3288
94488,725,S5308,S3281
94489,725,S5224,S5438
94490,725,S5224,S5223
94491,725,S5224,S2774
94492,725,S5224,S3288
94493,725,S5224,S3281
94494,725,S5438,S5223
94495,725,S5438,S2774
94496,725,S5438,S3288
94497,725,S5438,S3281
94498,725,S5223,S2774
94499,725,S5223,S3288
94500,725,S5223,S3281
70639,726,S5231,S5229
70640,726,S5231,S5230
70641,726,S5231,S5228
70642,726,S5231,S5227
70643,726,S5231,S5222
70644,726,S5231,S2774
70645,726,S5231,S3288
70646,726,S5231,S3281
70647,726,S5229,S5230
70648,726,S5229,S5228
70649,726,S5229,S5227
70650,726,S5229,S5222
70651,726,S5229,S2774
70652,726,S5229,S3288
70653,726,S5229,S3281
70654,726,S5230,S5228
70655,726,S5230,S5227
70656,726,S5230,S5222
70657,726,S5230,S2774
70658,726,S5230,S3288
70659,726,S5230,S3281
70660,726,S5228,S5227
70661,726,S5228,S5222
70662,726,S5228,S2774
70663,726,S5228,S3288
70664,726,S5228,S3281
70665,726,S5227,S5222
70666,726,S5227,S2774
70667,726,S5227,S3288
70668,726,S5227,S3281
70669,726,S5222,S2774
70670,726,S5222,S3288
70671,726,S5222,S3281
94504,727,S5237,S5236
94505,727,S5237,S5235
94506,727,S5237,S5234
94507,727,S5237,S5233
94508,727,S5237,S5245
94509,727,S5237,S5232
94510,727,S5237,S5717
94511,727,S5237,S5231
94512,727,S5237,S2774
94513,727,S5237,S3288
94514,727,S5237,S3281
94515,727,S5236,S5235
94516,727,S5236,S5234
94517,727,S5236,S5233
94518,727,S5236,S5245
94519,727,S5236,S5232
94520,727,S5236,S5717
94521,727,S5236,S5231
94522,727,S5236,S2774
94523,727,S5236,S3288
94524,727,S5236,S3281
94525,727,S5235,S5234
94526,727,S5235,S5233
94527,727,S5235,S5245
94528,727,S5235,S5232
94529,727,S5235,S5717
94530,727,S5235,S5231
94531,727,S5235,S2774
94532,727,S5235,S3288
94533,727,S5235,S3281
94534,727,S5234,S5233
94535,727,S5234,S5245
94536,727,S5234,S5232
94537,727,S5234,S5717
94538,727,S5234,S5231
94539,727,S5234,S2774
94540,727,S5234,S3288
94541,727,S5234,S3281
94542,727,S5233,S5245
94543,727,S5233,S5232
94544,727,S5233,S5717
94545,727,S5233,S5231
94546,727,S5233,S2774
94547,727,S5233,S3288
94548,727,S5233,S3281
94549,727,S5245,S5232
94550,727,S5245,S5717
94551,727,S5245,S5231
94552,727,S5245,S2774
94553,727,S5245,S3288
94554,727,S5245,S3281
94555,727,S5232,S5717
94556,727,S5232,S5231
94557,727,S5232,S2774
94558,727,S5232,S3288
94559,727,S5232,S3281
94560,727,S5717,S5231
94561,727,S5717,S2774
94562,727,S5717,S3288
94563,727,S5717,S3281
94564,727,S5231,S2774
94565,727,S5231,S3288
94566,727,S5231,S3281
94284,728,S5208,S5231
94285,728,S5208,S5718
