route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
116,2360001000457,18,首里駅線,,3,,
139,2360001000457,32,コンベンションセンター線（真志喜経由：那覇バスターナミル発）,,3,,
189,2360001000457,22,名護・うるま線（本線：中部病院発）,,3,,
190,2360001000457,22,名護・うるま線（本線：名護BT発）,,3,,
191,2360001000457,27,屋慶名線（美栄橋経由：那覇バスターミナル発）,,3,,
192,2360001000457,27,屋慶名線（美栄橋経由：屋慶名バスターミナル発）,,3,,
193,2360001000457,27,屋慶名線（下り：久茂地経由）,,3,,
194,2360001000457,27,屋慶名線（上り：久茂地経由）,,3,,
195,2360001000457,27,屋慶名線（下り：久茂地・具志川高校経由）,,3,,
196,2360001000457,27,屋慶名線（上り：久茂地・具志川高校経由）,,3,,
205,2360001000457,34,東風平線（下り）,,3,,
206,2360001000457,34,東風平線（上り）,,3,,
207,2360001000457,35,志多伯線（下り）,,3,,
208,2360001000457,35,志多伯線（上り）,,3,,
209,2360001000457,36,糸満新里線（下り：志多伯経由）,,3,,
210,2360001000457,36,糸満新里線（上り：志多伯経由）,,3,,
211,2360001000457,36,糸満新里線（下り：富盛経由）,,3,,
212,2360001000457,36,糸満新里線（上り：富盛経由）,,3,,
213,2360001000457,39,南城線（那覇発着：那覇バスターミナル発）,,3,,
214,2360001000457,39,南城線（那覇発着：南城発）,,3,,
225,2360001000457,48,石川読谷線（下り）,,3,,
226,2360001000457,48,石川読谷線（上り）,,3,,
231,2360001000457,52,与勝線（美栄橋経由：那覇発）,,3,,
232,2360001000457,52,与勝線（美栄橋経由：屋慶名発）,,3,,
233,2360001000457,52,与勝線（久茂地経由：那覇発）,,3,,
234,2360001000457,52,与勝線（久茂地経由：屋慶名発）,,3,,
235,2360001000457,61,前原線（サンエーパルコシティ発）,,3,,
236,2360001000457,61,前原線（屋慶名バスターミナル発）,,3,,
290,2360001000457,40,大里線（那覇バスターミナル発）,,3,,
291,2360001000457,40,大里線（南城市発）,,3,,
328,2360001000457,339,南城～結の街線（パルコ発着：パルコ発　開南経由）,,3,,
364,2360001000457,339,南城～結の街線（パルコ発着：南城発・開南経由）,,3,,
372,2360001000457,80,与那城線（下り）,,3,,
408,2360001000457,777,急行バス（屋慶名）線（下り）,,3,,
409,2360001000457,777,急行バス（屋慶名）線（上り）,,3,,
415,2360001000457,92,那覇～イオンモール線（下り）,,3,,
416,2360001000457,92,那覇～イオンモール線（上り）,,3,,
417,2360001000457,93,屋慶名～イオンモール線（下り）,,3,,
418,2360001000457,93,屋慶名～イオンモール線（上り）,,3,,
431,2360001000457,100,津嘉山線（下り）,,3,,
432,2360001000457,100,津嘉山線（上り）,,3,,
433,2360001000457,127,屋慶名高速線（下り）,,3,,
434,2360001000457,127,屋慶名高速線（上り）,,3,,
435,2360001000457,200,糸満おもろまち線（下り）,,3,,
436,2360001000457,200,糸満おもろまち線（上り）,,3,,
437,2360001000457,227,屋慶名おもろまち線（下り）,,3,,
438,2360001000457,227,屋慶名おもろまち線（上り）,,3,,
439,2360001000457,235,志多伯おもろまち線（下り）,,3,,
440,2360001000457,235,志多伯おもろまち線（上り）,,3,,
489,2360001000457,385,サンエーパルコシティ線（久茂地経由：那覇バスターミナル発）,,3,,
490,2360001000457,385,サンエーパルコシティ線（久茂地経由：那覇バスターミナル向け）,,3,,
