shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_116_1,26.21086,127.67669,10001
shapes_116_1,26.21086,127.6767,10002
shapes_116_1,26.21086,127.6767,10003
shapes_116_1,26.21084,127.67674,10004
shapes_116_1,26.21084,127.67675,10005
shapes_116_1,26.21083,127.67677,10006
shapes_116_1,26.21077,127.67684,10007
shapes_116_1,26.21068,127.67691,10008
shapes_116_1,26.21047,127.67739,10009
shapes_116_1,26.21038,127.67767,10010
shapes_116_1,26.21033,127.67781,10011
shapes_116_1,26.21031,127.67787,10012
shapes_116_1,26.21024,127.67803,10013
shapes_116_1,26.2102,127.67812,10014
shapes_116_1,26.21013,127.67826,10015
shapes_116_1,26.21004,127.67834,10016
shapes_116_1,26.20996,127.67835,10017
shapes_116_1,26.20986,127.67839,10018
shapes_116_1,26.20942,127.67858,10019
shapes_116_1,26.20915,127.67869,10020
shapes_116_1,26.21086,127.6767,20001
shapes_116_1,26.21084,127.67674,20002
shapes_116_1,26.21083,127.67677,20003
shapes_116_1,26.21077,127.67684,20004
shapes_116_1,26.21068,127.67691,20005
shapes_116_1,26.21047,127.67739,20006
shapes_116_1,26.21038,127.67767,20007
shapes_116_1,26.21033,127.67781,20008
shapes_116_1,26.21031,127.67787,20009
shapes_116_1,26.21024,127.67803,20010
shapes_116_1,26.2102,127.67812,20011
shapes_116_1,26.21013,127.67826,20012
shapes_116_1,26.21004,127.67834,20013
shapes_116_1,26.20996,127.67835,20014
shapes_116_1,26.20986,127.67839,20015
shapes_116_1,26.20942,127.67858,20016
shapes_116_1,26.20915,127.67869,20017
shapes_116_1,26.20915,127.67869,30001
shapes_116_1,26.2089,127.67879,30002
shapes_116_1,26.20859,127.67893,30003
shapes_116_1,26.2083,127.67908,30004
shapes_116_1,26.20716,127.67978,30005
shapes_116_1,26.20658,127.68012,30006
shapes_116_1,26.2063,127.68031,30007
shapes_116_1,26.2063,127.68031,40001
shapes_116_1,26.20616,127.6804,40002
shapes_116_1,26.2057,127.68063,40003
shapes_116_1,26.20538,127.68082,40004
shapes_116_1,26.20473,127.68141,40005
shapes_116_1,26.20451,127.68164,40006
shapes_116_1,26.20431,127.68187,40007
shapes_116_1,26.20405,127.68217,40008
shapes_116_1,26.2063,127.68031,50001
shapes_116_1,26.20616,127.6804,50002
shapes_116_1,26.2057,127.68063,50003
shapes_116_1,26.20538,127.68082,50004
shapes_116_1,26.20473,127.68141,50005
shapes_116_1,26.20451,127.68164,50006
shapes_116_1,26.20431,127.68187,50007
shapes_116_1,26.20405,127.68217,50008
shapes_116_1,26.20405,127.68217,60001
shapes_116_1,26.20373,127.68254,60002
shapes_116_1,26.20334,127.68314,60003
shapes_116_1,26.20328,127.68321,60004
shapes_116_1,26.20319,127.68334,60005
shapes_116_1,26.20293,127.68362,60006
shapes_116_1,26.20247,127.6841,60007
shapes_116_1,26.20223,127.68434,60008
shapes_116_1,26.20204,127.68454,60009
shapes_116_1,26.20192,127.68464,60010
shapes_116_1,26.2018,127.68472,60011
shapes_116_1,26.20166,127.68477,60012
shapes_116_1,26.20125,127.68497,60013
shapes_116_1,26.20065,127.68535,60014
shapes_116_1,26.2063,127.68031,70001
shapes_116_1,26.20616,127.6804,70002
shapes_116_1,26.2057,127.68063,70003
shapes_116_1,26.20538,127.68082,70004
shapes_116_1,26.20473,127.68141,70005
shapes_116_1,26.20451,127.68164,70006
shapes_116_1,26.20431,127.68187,70007
shapes_116_1,26.20405,127.68217,70008
shapes_116_1,26.20065,127.68535,80001
shapes_116_1,26.20045,127.68548,80002
shapes_116_1,26.2002,127.68565,80003
shapes_116_1,26.19989,127.68599,80004
shapes_116_1,26.19981,127.68615,80005
shapes_116_1,26.19974,127.68634,80006
shapes_116_1,26.19967,127.68659,80007
shapes_116_1,26.19956,127.68688,80008
shapes_116_1,26.19947,127.68707,80009
shapes_116_1,26.19936,127.68726,80010
shapes_116_1,26.19932,127.68731,80011
shapes_116_1,26.19932,127.68731,90001
shapes_116_1,26.1989,127.68787,90002
shapes_116_1,26.19785,127.68914,90003
shapes_116_1,26.19705,127.69019,90004
shapes_116_1,26.19683,127.69051,90005
shapes_116_1,26.19683,127.69051,100001
shapes_116_1,26.19652,127.69095,100002
shapes_116_1,26.1961,127.69157,100003
shapes_116_1,26.19601,127.69174,100004
shapes_116_1,26.19587,127.69202,100005
shapes_116_1,26.19579,127.69225,100006
shapes_116_1,26.19577,127.69239,100007
shapes_116_1,26.19572,127.69261,100008
shapes_116_1,26.19568,127.69287,100009
shapes_116_1,26.19565,127.69324,100010
shapes_116_1,26.19565,127.69373,100011
shapes_116_1,26.19572,127.6943,100012
shapes_116_1,26.19582,127.69458,100013
shapes_116_1,26.19582,127.69458,110001
shapes_116_1,26.1959,127.69481,110002
shapes_116_1,26.19598,127.69502,110003
shapes_116_1,26.19616,127.69548,110004
shapes_116_1,26.19624,127.69573,110005
shapes_116_1,26.19631,127.69596,110006
shapes_116_1,26.19642,127.69637,110007
shapes_116_1,26.19652,127.69676,110008
shapes_116_1,26.19654,127.69697,110009
shapes_116_1,26.19654,127.69725,110010
shapes_116_1,26.19652,127.69756,110011
shapes_116_1,26.19641,127.69793,110012
shapes_116_1,26.19628,127.69867,110013
shapes_116_1,26.19601,127.69987,110014
shapes_116_1,26.196,127.69992,110015
shapes_116_1,26.19594,127.70021,110016
shapes_116_1,26.1957,127.70126,110017
shapes_116_1,26.19578,127.70153,110018
shapes_116_1,26.19576,127.7017,110019
shapes_116_1,26.19576,127.7017,120001
shapes_116_1,26.19569,127.70236,120002
shapes_116_1,26.19566,127.70235,120003
shapes_116_1,26.19559,127.70232,120004
shapes_116_1,26.19557,127.70298,120005
shapes_116_1,26.19558,127.70308,120006
shapes_116_1,26.19559,127.70345,120007
shapes_116_1,26.19561,127.70365,120008
shapes_116_1,26.19567,127.70392,120009
shapes_116_1,26.19574,127.70414,120010
shapes_116_1,26.19576,127.70418,120011
shapes_116_1,26.19582,127.70432,120012
shapes_116_1,26.19598,127.70464,120013
shapes_116_1,26.19606,127.70479,120014
shapes_116_1,26.19613,127.70493,120015
shapes_116_1,26.19655,127.70572,120016
shapes_116_1,26.19576,127.7017,130001
shapes_116_1,26.19569,127.70236,130002
shapes_116_1,26.19566,127.70235,130003
shapes_116_1,26.19559,127.70232,130004
shapes_116_1,26.19557,127.70298,130005
shapes_116_1,26.19558,127.70308,130006
shapes_116_1,26.19559,127.70345,130007
shapes_116_1,26.19561,127.70365,130008
shapes_116_1,26.19567,127.70392,130009
shapes_116_1,26.19574,127.70414,130010
shapes_116_1,26.19576,127.70418,130011
shapes_116_1,26.19582,127.70432,130012
shapes_116_1,26.19598,127.70464,130013
shapes_116_1,26.19606,127.70479,130014
shapes_116_1,26.19613,127.70493,130015
