stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
S4073,,那覇バスターミナル,,26.210929,127.676747,S4073,,,
S3202,,県庁北口,,26.213519,127.679773,S3202,,,
S4128,,沖縄タイムス前,,26.216911,127.679497,S4128,,,
S3395,,ラ・ジェント・ホテル沖縄那覇前,,26.219286,127.681548,S3395,,,
S4137,,泊高橋,,26.223437,127.683959,S4137,,,
S3029,,楽市前,,26.230413,127.688913,S3029,,,
S4443,,合同庁舎前,,26.227878,127.691790,S4443,,,
S4441,,県立博物館前,,26.226865,127.692720,S4441,,,
S4439,,おもろまち一丁目,,26.224899,127.694533,S4439,,,
S4437,,那覇メインプレイス東口,,26.224747,127.695573,S4437,,,
S3399,,首里駅前,,26.219177,127.725914,S3399,,,
S4438,,那覇メインプレイス東口,,26.224894,127.696012,S4438,,,
S4440,,おもろまち一丁目,,26.225019,127.694169,S4440,,,
S4442,,県立博物館前,,26.226778,127.692542,S4442,,,
S4444,,合同庁舎前,,26.227782,127.691554,S4444,,,
S3466,,上之屋,,26.228953,127.686454,S3466,,,
S4135,,泊高橋,,26.224327,127.684813,S4135,,,
S3394,,ラ・ジェント・ホテル沖縄那覇前,,26.218961,127.681630,S3394,,,
S4127,,沖縄タイムス前,,26.216311,127.679297,S4127,,,
S3203,,県庁北口,,26.213248,127.679585,S3203,,,
S4072,,那覇バスターミナル,,26.211168,127.676814,S4072,,,
S2712,,おもろまち駅前広場,,26.223541,127.698009,S2712,,,
S2711,,おもろまち駅前広場（終点）,,26.223461,127.697795,S2711,,,
S4385,,旭町,,26.209177,127.678766,S4385,,,
S3617,,西壷川,,26.206329,127.680364,S3617,,,
S2167,,第一古波蔵,,26.200680,127.685397,S2167,,,
S1959,,古波蔵,,26.199370,127.687359,S1959,,,
S2159,,古蔵中学校前,,26.196897,127.690563,S2159,,,
S2349,,真玉橋,,26.195947,127.694530,S2349,,,
S2124,,樋川,,26.195714,127.701696,S2124,,,
S3283,,国場,,26.196576,127.705657,S3283,,,
S3448,,上間,,26.197739,127.709369,S3448,,,
S4078,,那覇市民体育館前,,26.200081,127.714367,S4078,,,
S2090,,真和志高校前,,26.202964,127.721044,S2090,,,
